plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
Kepler-1468 b,8.23984869,0.0127496,0.0808904,0,,0.154,,,2,Transit,2016,293.5198334,41.27741667,,,1130,1.04,1.05,5893,4.42,0.03,3.99E-05,0.0028369,0.00194448,,,0.00051,,,198.65,0.08,0.18,162.9,0.07,0.14,3.99E-05,0.0028369,0.00194448,,,0.05349,,,132.75,0.07,0.11,197.95,-0.13,0.164,,,,3.55,2.63,-1.86,,
Kepler-1468 c,3.54553021,0.00485109,0.046104,0,,0.103,,,2,Transit,2016,293.5198334,41.27741667,,,1130,1.04,1.05,5893,4.42,0.03,2.27E-05,0.0022935,0.00110827,,,0.00038,,,198.65,0.08,0.18,162.9,0.07,0.14,2.27E-05,0.0022935,0.00110827,,,0.03362,,,132.75,0.07,0.11,197.95,-0.13,0.164,,,,3.55,2.63,-1.86,,
Kepler-1469 b,21.8635301,0.0236826,0.148827,0,,0.25,,,1,Transit,2016,293.8213751,39.39136111,,,1255,0.92,0.89,5507,4.51,0.02,0.0001219,0.00415418,0.00269615,,,0.0006,,,166.57,0.05,0.12,128.4,0.05,0.14,0.0001219,0.00415418,0.00269615,,,0.0554,,,101.4,0.05,0.06,170.81,-0.11,0.171,,,,4.47,5.7,-2.75,,
Kepler-147 b,12.610584,0.0125754,0.10603,,,0.136497,,0.51,2,Transit,2014,287.9757084,39.08718056,,,,1.01,1.468,6012,4.182,0.078,0.000228,0.00670101,0.00176717,,,0.0276563,,0.24,,,0.289,100,0.15,,0.000228,0.00670101,0.00176717,,,0.0276563,,-0.24,,,0.289,100,0.15,,,,,,,,,
Kepler-147 c,33.416423,0.0188614,0.203039,,,0.21679,,0.02,2,Transit,2014,287.9757084,39.08718056,,,,1.01,1.468,6012,4.182,0.078,0.000416,0.00456337,0.00338399,,,0.0437149,,0.23,,,0.289,100,0.15,,-0.000416,0.00456337,0.00338399,,,0.0437149,,-0.23,,,0.289,100,0.15,,,,,,,,,
Kepler-1470 b,16.2950903,0.00364938,0.116773,0,,0.095,,,1,Transit,2016,288.695,39.88319444,,,569,0.8,0.76,4961,4.59,-0.01,0.0001916,0.000928912,0.00194621,,,0.001,,,26.84,0.04,0.03,84.41,0.02,0.144,0.0001916,0.000928912,0.00194621,,,0.014,,,29.91,0.04,0.04,94.64,-0.04,0.16,,,,4.57,6.1,-2.76,,
Kepler-1471 b,3.63899398,0.00965491,0.0455165,0,,0.126,,,1,Transit,2016,289.6648751,50.02005556,,,1059,0.95,0.93,5660,4.48,-0.03,2.00E-05,0.0033695,0.000878388,,,0.00042,,,157.75,0.05,0.14,86.53,0.06,0.143,2.00E-05,0.0033695,0.000878388,,,0.02958,,,84.73,0.06,0.07,104.98,-0.12,0.188,,,,4.57,4.72,-2.77,,
Kepler-1472 b,38.1312831,0.014034,0.232959,0,,0.17,,,1,Transit,2016,294.8526666,49.05747222,,,1269,1.16,1.25,6159,4.31,0.03,0.0005755,0.0058374,0.00836779,,,2.00E-05,,,507,0.16,0.5,92.7,0.11,0.129,0.0005755,0.0058374,0.00836779,,,0.09998,,,190.51,0.09,0.18,114.64,-0.23,0.147,,,,3.09,1.01,-1.32,,
Kepler-1473 b,14.4273551,0.0053608,0.119364,0,,0.106,,,1,Transit,2016,290.6365833,48.99608333,,,625,1.09,1.09,6046,4.4,-0.01,8.41E-05,0.00121319,0.0019894,,,0.00035,,,46.75,0.04,0.08,77.17,0.04,0.092,8.41E-05,0.00121319,0.0019894,,,0.01465,,,36.61,0.04,0.06,64.08,-0.06,0.097,,,,2.63,1.47,-1.06,,
Kepler-1474 b,36.4333452,0.0161718,0.217913,0,,0.193,,,1,Transit,2016,294.6940416,45.86683333,,,1214,1.04,1.04,5870,4.42,0.04,0.0003218,0.002717,0.00488908,,,0.00105,,,238.52,0.07,0.2,115.73,0.07,0.147,0.0003218,0.002717,0.00488908,,,0.05895,,,132.81,0.07,0.11,173.32,-0.14,0.164,,,,3.8,2.64,-2.08,,
Kepler-1475 b,82.177374,0.0256089,0.390903,0,,0.261,,,1,Transit,2016,295.9482917,44.75311111,,,1714,1.18,1.28,6214,4.29,0.03,0.00115,0.00907513,0.0143552,,,0.00079,,,573.22,0.15,0.43,192.71,0.11,0.129,0.00115,0.00907513,0.0143552,,,0.12821,,,277.87,0.11,0.19,203.22,-0.2,0.163,,,,2.82,1.22,-1.06,,
Kepler-1476 b,10.35863224,0.0123746,0.0923741,0,,0.149,,,1,Transit,2016,284.5320834,43.98994444,,,1218,0.98,0.96,5663,4.47,0.06,5.89E-05,0.0025913,0.00153957,,,0.00097,,,255.04,0.04,0.2,68.09,0.06,0.138,5.89E-05,0.0025913,0.00153957,,,0.04403,,,96.65,0.05,0.07,77.19,-0.17,0.155,,,,4.57,4.7,-2.81,,
Kepler-1477 b,11.55530021,0.00518721,0.0932443,0,,0.105,,,1,Transit,2016,281.2985417,42.68575,,,525,0.81,0.78,5100,4.58,-0.06,8.10E-05,0.00125826,0.00155407,,,0.00086,,,29.97,0.04,0.04,78.06,0.03,0.158,8.10E-05,0.00125826,0.00155407,,,0.01514,,,32.76,0.04,0.04,73.51,-0.05,0.166,3.3,,,4.68,5.77,-2.78,,
Kepler-1478 b,26.0840594,0.0127496,0.174395,0,,0.154,,,1,Transit,2016,293.1650834,41.74622222,,,1405,1.04,1.06,5904,4.41,0.03,0.0005121,0.0034734,0.00391271,,,0.001,,,375.74,0.07,0.28,102.51,0.08,0.136,-0.0005121,0.0034734,0.00391271,,,0.058,,,156.48,0.07,0.11,137.72,-0.18,0.178,,,,3.98,2.42,-2.2,,
Kepler-1479 b,14.53261362,0.0134548,0.116158,0,,0.163,,,1,Transit,2016,285.7119167,49.70666667,,,619,0.99,0.98,5796,4.45,-0.02,4.43E-05,0.00155242,0.00215107,,,0.00053,,,95.58,0.05,0.16,74.44,0.06,0.143,4.43E-05,0.00155242,0.00215107,,,0.04047,,,52.46,0.06,0.08,79.45,-0.13,0.187,,,,4.27,3.13,-2.48,,
Kepler-148 b,1.729366,0.0132614,0.0281967,,,0.160585,,0.05,3,Transit,2014,289.7862084,46.85878889,,,,,0.85,5272,4.55,0.143,4.00E-06,0.0110109,0.000469944,,,0.0776162,,0.2,,,0.41,200,0.3,,4.00E-06,0.0110109,0.000469944,,,0.0776162,,-0.2,,,0.41,200,-0.3,,,,,,,,,
Kepler-148 c,4.180043,0.0397965,0.050784,,,0.321171,,0.48,3,Transit,2014,289.7862084,46.85878889,,,,,0.85,5272,4.55,0.143,4.00E-06,0.0262482,0.0008464,,,0.157017,,0.24,,,0.41,200,0.3,,4.00E-06,0.0262482,0.0008464,,,0.157017,,-0.24,,,0.41,200,-0.3,,,,,,,,,
Kepler-148 d,51.84688575,0.428344,0,0,,0.774,,,3,Transit,2016,289.7862084,46.85877778,,,0,0,0.85,5272,4.55,0.143,2.57E-05,0.0780776,0,,,0.00078,,,0,0,0.41,200,0.3,0,2.57E-05,0.0780776,0,,,0.08222,,,0,0,0.41,200,-0.3,0,,,,,,,,
Kepler-1480 b,22.12679948,0.0123746,0.146114,0,,0.149,,,1,Transit,2016,291.9997917,49.30180556,,,540,0.85,0.81,5156,4.56,0.07,9.37E-05,0.000614389,0.00243523,,,0.00074,,,31.79,0.04,0.04,61.41,0.03,0.146,9.37E-05,0.000614389,0.00243523,,,0.01626,,,25.26,0.04,0.03,70.65,-0.06,0.155,,,,4.79,6.2,-2.91,,
Kepler-1481 b,5.94220998,0.00609283,0.0596031,0,,0.11,,,1,Transit,2016,289.4389584,49.73122222,,,493,0.8,0.75,4908,4.6,0.04,2.34E-05,0.00107552,0.000993384,,,0.00086,,,21.56,0.03,0.03,52.54,0.02,0.152,2.34E-05,0.00107552,0.000993384,,,0.01114,,,22.23,0.04,0.03,65.82,-0.04,0.161,,,,3.89,6.13,-2.24,,
Kepler-1482 b,12.25383217,0.0030088,0.0996817,0,,0.09,,,1,Transit,2016,285.3137916,48.72525,,,442,0.88,0.84,5381,4.54,-0.04,8.41E-05,0.000987439,0.00169912,,,0.00031,,,41.39,0.04,0.08,59.2,0.04,0.155,8.41E-05,0.000987439,0.00169912,,,0.01869,,,28.42,0.05,0.05,59.31,-0.09,0.157,,,,4.47,6.7,-2.8,,
Kepler-1483 b,9.5085156,0.0124263,0.0946205,0,,0.136,,,1,Transit,2016,295.4097917,42.15083333,,,1327,1.25,1.4,6337,4.24,0.04,0.0001053,0.00904309,0.00441562,,,0.00014,,,556.29,0.21,0.6,208.71,0.13,0.132,0.0001053,0.00904309,0.00441562,,,0.08586,,,254.14,0.14,0.25,223.77,-0.25,0.159,,,,2.4,0.997,-0.735,,
Kepler-1484 b,30.4549136,0.0156727,0.186962,0,,0.188,,,1,Transit,2016,292.6842917,38.12627778,,,1095,0.94,0.92,5730,4.49,-0.17,0.0003536,0.00209621,0.0049724,,,0.00072,,,162.47,0.08,0.13,204.01,0.06,0.181,-0.0003536,0.00209621,0.0049724,,,0.04628,,,108.15,0.07,0.09,127.9,-0.11,0.212,,,,3.98,4.07,-2.33,,
Kepler-1485 b,19.9157725,0.0109866,0.148883,0,,0.131,,,1,Transit,2016,298.0954167,44.73705556,,,550,1.11,1.12,6087,4.39,0.02,0.0001284,0.00399639,0.00248139,,,0.00176,,,37.25,0.04,0.07,92.28,0.04,0.08,0.0001284,0.00399639,0.00248139,,,0.03124,,,34.12,0.04,0.06,89.44,-0.05,0.083,,,,2.51,1.33,-0.949,,
Kepler-1486 b,54.6495759,0.0176872,0.28916,0,,0.207,,,1,Transit,2016,290.5903751,45.43972222,,,1465,1.08,1.12,5965,4.38,0.06,0.0009825,0.00382162,0.00713977,,,0.00087,,,360.39,0.09,0.27,147.55,0.09,0.138,0.0009825,0.00382162,0.00713977,,,0.07713,,,170.85,0.07,0.12,160.68,-0.17,0.141,,,,3.55,2.09,-1.83,,
Kepler-1487 b,7.31946363,0.0158698,0.0821396,0,,0.19,,,1,Transit,2016,295.498125,38.6445,,,1094,1.38,1.63,6541,4.16,0.04,4.68E-05,0.00460403,0.00367049,,,9.00E-05,,,424.77,0.21,0.65,230.55,0.14,0.131,4.68E-05,0.00460403,0.00367049,,,0.11591,,,224.22,0.16,0.32,190.33,-0.23,0.153,,,,1.95,0.705,-0.474,,
Kepler-1488 b,39.8189932,0.0136995,0.231951,0,,0.166,,,1,Transit,2016,286.6464167,49.93777778,,,618,1.05,1.31,5820,4.22,0.06,0.0002907,0.00271293,0.00441812,,,0.00039,,,137.41,0.07,0.29,71.05,0.17,0.093,0.0002907,0.00271293,0.00441812,,,0.06961,,,120.56,0.05,0.26,62.23,-0.15,0.073,,,,6.92,1.3,-2.36,,
Kepler-1489 b,82.294751,0.0130579,0.361423,0,,0.158,,,1,Transit,2016,281.2958334,44.46541667,,,870,0.93,0.9,5655,4.51,-0.13,0.001799,0.00136834,0.00712482,,,0.001,,,107.84,0.05,0.11,76.91,0.05,0.174,0.001799,0.00136834,0.00712482,,,0.036,,,72.75,0.06,0.07,64.04,-0.11,0.192,,,,4.07,4.94,-2.43,,
Kepler-149 b,29.198943,0.0581875,0.185574,,,0.375591,,0.02,3,Transit,2014,285.8536667,38.38411944,,,,,0.953,5381,4.465,0.147,4.10E-05,0.0181278,0.00309291,,,0.0535284,,0.17,,,0.136,100,0.15,,4.10E-05,0.0181278,0.00309291,,,0.0535284,,-0.17,,,0.136,100,0.15,,,,,,,,,
Kepler-149 c,55.328328,0.0119837,0.284166,,,0.144,,0.5,3,Transit,2014,285.8536667,38.38411944,,,,,0.953,5381,4.465,0.147,0.001946,0.00326415,0.0047361,,,0.021,,0.36,,,0.136,100,0.15,,0.001946,0.00326415,0.0047361,,,0.021,,-0.36,,,0.136,100,0.15,,,,,,,,,
Kepler-149 d,160.018032,0.0504114,0.576836,,,0.353288,,0.62,3,Transit,2014,285.8536667,38.38411944,,,,,0.953,5381,4.465,0.147,0.001096,0.0181805,0.00961394,,,0.0606655,,0.25,,,0.136,100,0.15,,-0.001096,0.0181805,0.00961394,,,0.0606655,,-0.25,,,0.136,100,0.15,,,,,,,,,
Kepler-1490 b,92.4362973,0.0275214,0.386292,0,,0.271,,,1,Transit,2016,295.6935834,42.6095,,,968,0.9,0.87,5515,4.52,-0.08,0.0009042,0.00739179,0.00929962,,,3.00E-05,,,128.57,0.07,0.11,193.53,0.06,0.156,0.0009042,0.00739179,0.00929962,,,0.08897,,,87.3,0.06,0.07,190.47,-0.1,0.179,,,,4.57,5.09,-2.88,,
Kepler-1491 b,16.5861762,0.0121297,0.127283,0,,0.135,,,1,Transit,2016,293.6297501,45.74063889,,,1312,1,0.99,5728,4.45,0.06,0.0002214,0.00534576,0.00212138,,,0.00088,,,291.04,0.05,0.22,84.52,0.06,0.133,-0.0002214,0.00534576,0.00212138,,,0.04212,,,115.14,0.05,0.08,115.34,-0.16,0.149,,,,4.57,3.71,-2.76,,
Kepler-1492 b,16.75255007,0.0115494,0.117442,0,,0.133,,,1,Transit,2016,288.5970834,41.03641667,,,371,0.77,0.72,4712,4.62,0.06,6.46E-05,0.00476552,0.00195737,,,0.00353,,,14.88,0.03,0.02,54.27,0.01,0.148,6.46E-05,0.00476552,0.00195737,,,0.03547,,,16.37,0.04,0.03,72.63,-0.03,0.179,,,,2.82,5.83,-1.32,,
Kepler-1493 b,15.0217983,0.00965491,0.121485,0,,0.126,,,1,Transit,2016,288.5491667,38.56522222,,,572,1.06,1.29,5863,4.24,0.06,0.0001075,0.00472116,0.00210116,,,0.0004,,,107.27,0.06,0.24,78.69,0.13,0.094,0.0001075,0.00472116,0.00210116,,,0.0446,,,89.91,0.05,0.2,82.85,-0.13,0.071,,,,6.46,1.4,-1.84,,
Kepler-1494 b,91.080482,0.0281267,0.390823,0,,0.274,,,1,Transit,2016,282.6574167,43.16252778,,,1059,0.96,0.94,5659,4.48,0.01,0.001769,0.00779134,0.00746364,,,0.00136,,,151.36,0.05,0.13,86.94,0.06,0.15,-0.001769,0.00779134,0.00746364,,,0.09064,,,89.41,0.06,0.07,107.31,-0.12,0.182,,,,4.37,4.26,-2.67,,
Kepler-1495 b,85.273256,0.0257931,0.382908,0,,0.262,,,1,Transit,2016,286.13075,38.77963889,,,1307,1.03,1.04,5831,4.42,0.06,0.001954,0.00709225,0.0074351,,,0.0009,,,314.56,0.06,0.25,90.97,0.08,0.133,0.001954,0.00709225,0.0074351,,,0.0921,,,136.64,0.06,0.1,139.38,-0.18,0.146,,,,4.17,2.83,-2.44,,
Kepler-1496 b,64.6588017,0.0166923,0.33316,0,,0.198,,,1,Transit,2016,293.9739167,45.35069444,,,1293,1.18,1.27,6182,4.29,0.05,0.00078,0.00486118,0.0131758,,,0.0009,,,512.03,0.17,0.52,140.35,0.12,0.128,0.00078,0.00486118,0.0131758,,,0.1121,,,218.88,0.11,0.2,206.6,-0.24,0.152,,,,2.95,1.29,-1.19,,
Kepler-1497 b,8.74199772,0.0123008,0.0819289,0,,0.148,,,1,Transit,2016,296.196125,45.63433333,,,1122,0.96,0.95,5675,4.47,0.01,8.62E-05,0.00212613,0.00184909,,,0.00063,,,189.44,0.07,0.16,159.75,0.06,0.134,8.62E-05,0.00212613,0.00184909,,,0.03937,,,104.84,0.06,0.08,169,-0.13,0.172,,,,4.27,4.09,-2.62,,
Kepler-1498 b,48.051405,0.00796813,0.245986,0,,0.119,,,1,Transit,2016,284.778125,44.91677778,,,740,0.86,0.81,5256,4.56,-0.01,0.0009331,0.0018753,0.00409976,,,0.0008,,,46.6,0.04,0.05,60.36,0.03,0.141,-0.0009331,0.0018753,0.00409976,,,0.0172,,,39.42,0.04,0.04,58.16,-0.07,0.156,,,,4.17,6.28,-2.44,,
Kepler-1499 b,44.2008,0.0053608,0.228998,0,,0.106,,,1,Transit,2016,283.9863333,41.65041667,,,310,0.82,0.78,5097,4.58,-0.01,0.0006553,0.00246992,0.00381663,,,0.00291,,,17.06,0.04,0.04,77.02,0.03,0.149,0.0006553,0.00246992,0.00381663,,,0.03109,,,17.35,0.04,0.04,92.24,-0.05,0.169,,,,4.68,6,-2.84,,
Kepler-15 b,4.942782,0.66177,0.05714,0.133933,87.44,0.96,,0.554,1,Transit,2011,296.2006041,49.14008333,,13.8,,1.02,0.992,5595,4.46,0.36,1.30E-06,0.0789697,0.00086,0.052338,0.18,0.06,,0.023,,0.04,0.058,120,0.05,0.07,1.30E-06,0.0789697,-0.00093,0.052338,-0.2,-0.07,,-0.024,,-0.05,0.058,120,-0.05,0.07,2,2,-2,3.7,1.5,-3.6,,
Kepler-150 b,3.428054,0.00638668,0.0444944,,,0.112,,0.08,4,Transit,2014,288.2341667,40.5209,,,,,0.939,5560,4.47,-0.136,2.60E-05,0.00279601,0.000741573,,,0.017,,0.22,,,0.136,100,0.15,,-2.60E-05,0.00279601,0.000741573,,,0.017,,-0.22,,,0.136,100,-0.15,,,,,,,,,
Kepler-150 c,7.381998,0.0422294,0.0741975,,,0.3292,,0.53,4,Transit,2014,288.2341667,40.5209,,,,,0.939,5560,4.47,-0.136,1.00E-05,0.0135735,0.00123662,,,0.0526363,,0.3,,,0.136,100,0.15,,-1.00E-05,0.0135735,0.00123662,,,0.0526363,,-0.3,,,0.136,100,-0.15,,,,,,,,,
Kepler-150 d,12.56093,0.0235009,0.105752,,,0.248907,,0.12,4,Transit,2014,288.2341667,40.5209,,,,,0.939,5560,4.47,-0.136,3.60E-05,0.00518699,0.00176253,,,0.0365777,,0.23,,,0.136,100,0.15,,3.60E-05,0.00518699,0.00176253,,,0.0365777,,-0.23,,,0.136,100,-0.15,,,,,,,,,
Kepler-150 e,30.826557,0.0290307,0.192408,,,0.278,,0.93,4,Transit,2014,288.2341667,40.5209,,,,,0.939,5560,4.47,-0.136,0.000199,0.00851761,0.0032068,,,0.049,,0.33,,,0.136,100,0.15,,0.000199,0.00851761,0.0032068,,,0.049,,-0.33,,,0.136,100,-0.15,,,,,,,,,
Kepler-1500 b,15.0330105,0.00553813,0.119208,0,,0.107,,,1,Transit,2016,288.8833334,39.74458333,,,904,1,1,5845,4.44,-0.05,0.0001612,0.00246906,0.00278151,,,0.00031,,,163.59,0.07,0.18,122.09,0.07,0.156,0.0001612,0.00246906,0.00278151,,,0.03269,,,98.4,0.07,0.1,140.57,-0.14,0.185,,,,4.07,2.97,-2.3,,
Kepler-1501 b,14.5564533,0.0116544,0.123985,0,,0.139,,,1,Transit,2016,289.9185,42.00144444,,,888,1.2,1.3,6229,4.28,0.04,0.0001121,0.00765343,0.00447725,,,0.00147,,,356.86,0.17,0.54,111.62,0.11,0.137,0.0001121,0.00765343,0.00447725,,,0.08153,,,131.79,0.09,0.18,123.73,-0.24,0.163,,,,2.75,0.919,-1.02,,
Kepler-1502 b,41.7083629,0.0302544,0.265793,0,,0.284,,,1,Transit,2016,296.1079167,39.31991667,,,1540,1.44,1.72,6666,4.13,0.05,0.0003485,0.0127385,0.0123052,,,0.00018,,,535.66,0.23,0.61,321.18,0.14,0.138,0.0003485,0.0127385,0.0123052,,,0.15682,,,308.68,0.17,0.33,272.08,-0.21,0.15,,,,1.7,0.74,-0.401,,
Kepler-1503 b,96.16987,0.0172355,0.376527,0,,0.203,,,1,Transit,2016,293.7271667,42.80675,,,850,0.77,0.74,5069,4.59,-0.19,0.00118,0.00194744,0.00977992,,,0.00147,,,62.67,0.05,0.05,95.03,0.05,0.179,-0.00118,0.00194744,0.00977992,,,0.03653,,,85.89,0.07,0.07,73.98,-0.05,0.259,,,,5.13,5.86,-3.26,,
Kepler-1504 b,82.304003,0.0158698,0.350774,0,,0.19,,,1,Transit,2016,289.712,50.12822222,,,1029,0.85,0.81,5393,4.55,-0.17,0.001593,0.00175064,0.0082535,,,0.00108,,,102.29,0.06,0.08,102.27,0.05,0.18,0.001593,0.00175064,0.0082535,,,0.03692,,,89.79,0.06,0.07,78.86,-0.08,0.204,,,,4.47,6.05,-2.84,,
Kepler-1505 b,30.8609366,0.00225358,0.187949,0,,0.083,,,1,Transit,2016,292.0020417,41.78697222,,,359,0.93,0.86,5686,4.54,-0.18,0.0002252,0.000362774,0.00313249,,,0.00051,,,11.05,0.03,0.02,65.36,0.01,0.099,0.0002252,0.000362774,0.00313249,,,0.00749,,,13.34,0.04,0.03,53.94,-0.01,0.111,,,,1.7,0.981,-0.459,,
Kepler-1506 b,14.0329154,0.00774372,0.11193,0,,0.118,,,1,Transit,2016,290.149875,41.46458333,,,1318,0.95,0.93,5676,4.49,-0.05,0.0002811,0.00280998,0.00216005,,,0.00091,,,170.9,0.05,0.12,104.55,0.05,0.153,-0.0002811,0.00280998,0.00216005,,,0.02809,,,104.37,0.06,0.07,89.59,-0.11,0.179,,,,3.98,4.09,-2.33,,
Kepler-1507 b,16.0506213,0.00157306,0.119784,0,,0.075,,,1,Transit,2016,288.5615417,46.53605556,,,342,0.89,0.85,5410,4.53,-0.03,0.0001447,0.000515528,0.00201883,,,0.0003,,,35.04,0.04,0.09,63.43,0.04,0.15,0.0001447,0.000515528,0.00201883,,,0.0157,,,24.24,0.05,0.06,70.14,-0.1,0.173,,,,4.57,6.44,-2.85,,
Kepler-1508 b,20.7056504,0.00796813,0.154158,0,,0.119,,,1,Transit,2016,298.1188751,40.37505556,,,892,1.14,1.22,6158,4.32,0.01,0.0005499,0.00561636,0.00766285,,,0.00059,,,365.17,0.22,0.48,294.77,0.14,0.132,0.0005499,0.00561636,0.00766285,,,0.06941,,,177.51,0.12,0.23,280.41,-0.22,0.176,,,,2.69,1.7,-1.09,,
Kepler-1509 b,25.4338197,0.0136174,0.169257,0,,0.165,,,1,Transit,2016,283.7978334,46.931,,,1277,1,0.99,5780,4.45,0.03,0.0003114,0.00178625,0.00282096,,,0.0009,,,199.54,0.05,0.16,69.62,0.06,0.138,-0.0003114,0.00178625,0.00282096,,,0.0461,,,105.41,0.05,0.08,80.25,-0.13,0.162,,,,3.98,3.3,-2.28,,
Kepler-151 b,15.228958,0.0279223,0.120241,,,0.273,,0.79,2,Transit,2014,292.1627916,41.02323889,,,,0.83,0.83,5460,4.555,-0.102,3.00E-05,0.0153466,0.00200402,,,0.136,,0.28,,,0.41,200,0.3,,3.00E-05,0.0153466,0.00200402,,,0.136,,-0.28,,,0.41,200,0.3,,,,,,,,,
Kepler-151 c,24.674612,0.0155228,0.165872,,,0.186457,,0.06,2,Transit,2014,292.1627916,41.02323889,,,,0.83,0.83,5460,4.555,-0.102,0.000106,0.0120513,0.00276454,,,0.0927826,,0.23,,,0.41,200,0.3,,0.000106,0.0120513,0.00276454,,,0.0927826,,-0.23,,,0.41,200,0.3,,,,,,,,,
Kepler-1510 b,84.703921,0.0340314,0.399998,0,,0.3,,,1,Transit,2016,298.959125,48.25783333,,,1615,1.19,1.28,6200,4.29,0.04,0.001896,0.0147626,0.015126,,,0.00101,,,570.79,0.15,0.46,177.72,0.11,0.129,-0.001896,0.0147626,0.015126,,,0.15899,,,277.47,0.12,0.2,224.25,-0.22,0.143,,,,2.75,1.34,-1.04,,
Kepler-1511 b,23.2382792,0.0124487,0.167934,0,,0.15,,,1,Transit,2016,288.4212084,43.17980556,,,897,1.17,1.29,6064,4.28,0.14,0.000222,0.0066375,0.00574132,,,0.00049,,,362.46,0.17,0.53,72.72,0.12,0.152,-0.000222,0.0066375,0.00574132,,,0.08251,,,130.66,0.07,0.18,86.89,-0.24,0.14,,,,3.31,1.21,-1.44,,
Kepler-1512 b,20.35972599,0.00518721,0.13139,0,,0.105,,,1,Transit,2016,289.2745001,44.47025,,,162,0.73,0.67,4372,4.64,0.2,5.87E-05,0.00125826,0.00359972,,,0.00082,,,5.8,0.02,0.02,59.14,0.02,0.106,5.87E-05,0.00125826,0.00359972,,,0.01518,,,15.91,0.1,0.06,63.7,-0.01,0.39,,,,1.78,2.68,-0.505,,
Kepler-1513 b,160.8846509,0.249782,0.576981,0,,0.755,,,1,Transit,2016,289.7916251,39.28527778,,,384,0.99,0.97,5617,4.46,0.14,7.72E-05,0.0835593,0.0116562,,,0.00014,,,63.99,0.07,0.16,176.78,0.06,0.144,7.72E-05,0.0835593,0.0116562,,,0.18786,,,34.78,0.05,0.08,124.96,-0.13,0.161,,,,3.98,4.09,-2.4,,
Kepler-1514 b,217.8317626,1,0.755004,0,,1.055,,,1,Transit,2016,292.6274583,37.86013889,,,379,1.21,1.22,6251,4.35,0.14,0.0001058,0.0946423,0.0125834,,,0.0001,,,20.87,0.04,0.06,81.98,0.03,0.083,0.0001058,0.0946423,0.0125834,,,0.0989,,,18.36,0.04,0.05,87.8,-0.03,0.083,,,,1.58,0.633,-0.349,,
Kepler-1515 b,214.3114164,0.383964,0.764923,0,,0.852,,,1,Transit,2016,290.9739167,48.17816667,,,504,1.3,1.41,6511,4.26,0.07,0.0001275,0.0944073,0.0127487,,,0.0001,,,41.01,0.06,0.11,94.24,0.04,0.11,0.0001275,0.0944073,0.0127487,,,0.1259,,,35.51,0.05,0.1,81.34,-0.06,0.109,,,,1.82,0.535,-0.44,,
Kepler-1516 b,7.25931979,0.0129028,0.0743387,0,,0.156,,,1,Transit,2016,291.4945833,44.5235,,,872,1.04,1.07,5904,4.4,0.03,3.61E-05,0.00337517,0.00154872,,,0.00052,,,183.88,0.07,0.23,92.11,0.08,0.156,3.61E-05,0.00337517,0.00154872,,,0.06048,,,100.2,0.06,0.12,142.16,-0.15,0.166,,,,4.07,2.15,-2.25,,
Kepler-1517 b,5.54608367,0.696016,0.0714194,0,,0.871,,,1,Transit,2016,287.8072083,43.18877778,,,869,1.58,1.95,7010,4.06,0.01,7.09E-06,0.449896,0.00248612,,,0.00414,,,238.65,0.18,0.53,117.01,0.14,0.144,7.09E-06,0.449896,0.00248612,,,0.41686,,,167.29,0.15,0.37,113.2,-0.16,0.152,,,,1.38,0.26,-0.19,,
Kepler-1518 b,5.11177904,0.0277215,0.0670648,0,,0.272,,,1,Transit,2016,300.332375,44.98613889,,,1140,1.54,1.88,6846,4.08,0.06,5.08E-05,0.0104861,0.00283066,,,0.00114,,,368.49,0.21,0.61,320.29,0.15,0.148,5.08E-05,0.0104861,0.00283066,,,0.13686,,,229.54,0.18,0.38,290.12,-0.19,0.165,,,,1.48,0.512,-0.27,,
Kepler-1519 b,240.7989397,0.144903,0.742026,0,,0.63,,,1,Transit,2016,296.6679167,49.46186111,,,858,0.94,0.91,5644,4.5,-0.07,0.0006117,0.0348551,0.0157878,,,0.00053,,,102.69,0.06,0.1,138.77,0.05,0.152,-0.0006117,0.0348551,0.0157878,,,0.11947,,,68.77,0.06,0.07,112.71,-0.1,0.181,,,,3.98,4.28,-2.31,,
Kepler-152 b,18.207973,0.0235009,0.135451,,,0.249,,0.03,2,Transit,2014,286.8655416,41.98908056,,,,,0.72,5088,4.61,-0.138,2.30E-05,0.00235281,0.00225751,,,0.015,,0.16,,,0.04,100,0.15,,2.30E-05,0.00235281,0.00225751,,,0.015,,-0.16,,,0.04,100,-0.15,,,,,,,,,
Kepler-152 c,88.255055,0.0184218,0.387942,,,0.213,,0.25,2,Transit,2014,286.8655416,41.98908056,,,,,0.72,5088,4.61,-0.138,0.000309,0.00162829,0.00646569,,,0.014,,0.22,,,0.04,100,0.15,,0.000309,0.00162829,0.00646569,,,0.014,,-0.22,,,0.04,100,-0.15,,,,,,,,,
